daily,scrapper_curr_on_hand_qty,scrapper_rows,client,provider,report_type,execution_date
2022/04/27,257712.0,5256,TRAMONTINA,FRESKO,INVENTORY,2022/05/07-19:20
2022/04/28,2089.0,142,TRAMONTINA,ALSUPER,INVENTORY,2022/05/07-19:20
2022/04/27,3969.0,25,PROAN,CITY_CLUB,INVENTORY,2022/05/07-19:20
2022/04/27,229382.0,1985,GRUPOVIDA,FRESKO,INVENTORY,2022/05/07-19:20
2022/04/27,0.0,7319,GRUPOVIDA,SORIANA_DD_2,INVENTORY,2022/05/07-19:20
2022/04/26,0.0,1356,GRUPOVIDA,SORIANA_DD_2,INVENTORY,2022/05/07-19:20
2022/04/28,0.0,1195,GRUPOVIDA,SORIANA_DD_2,INVENTORY,2022/05/07-19:20
2022/04/29,0.0,1958,GRUPOVIDA,SORIANA_DD_2,INVENTORY,2022/05/07-19:20
2022/05/01,0.0,1817,GRUPOVIDA,SORIANA_DD_2,INVENTORY,2022/05/07-19:20
2022/05/02,0.0,1360,GRUPOVIDA,SORIANA_DD_2,INVENTORY,2022/05/07-19:20
2022/05/03,0.0,980,GRUPOVIDA,SORIANA_DD_2,INVENTORY,2022/05/07-19:20
2022/05/04,0.0,1703,GRUPOVIDA,SORIANA_DD_2,INVENTORY,2022/05/07-19:20
2022/05/05,0.0,845,GRUPOVIDA,SORIANA_DD_2,INVENTORY,2022/05/07-19:20
2022/04/26,0.0,1439,CHATA,SORIANA_DW,INVENTORY,2022/05/07-19:20
2022/05/03,0.0,1478,CHATA,SORIANA_DW,INVENTORY,2022/05/07-19:20
2022/05/04,0.0,1357,CHATA,SORIANA_DW,INVENTORY,2022/05/07-19:20
2022/05/05,0.0,1258,CHATA,SORIANA_DW,INVENTORY,2022/05/07-19:20
2022/05/06,0.0,1251,CHATA,SORIANA_DW,INVENTORY,2022/05/07-19:20
2022/04/27,132980.0,2171,CHATA,FRESKO,INVENTORY,2022/05/07-19:20
2022/04/26,25968.0,1214,TUNY,SORIANA_DW_2,INVENTORY,2022/05/07-19:20
2022/04/26,1495312.0,168,TUNY,SANCHEZ,INVENTORY,2022/05/07-19:20
2022/04/27,1487279.0,168,TUNY,SANCHEZ,INVENTORY,2022/05/07-19:20
2022/05/01,927.3958333333334,17,TUNY,SAHUAYO,INVENTORY,2022/05/07-19:20
2022/05/02,927.3958333333333,17,TUNY,SAHUAYO,INVENTORY,2022/05/07-19:20
2022/05/01,156.14583333333331,3,TUNY,SAHUAYO_FIVESTARS,INVENTORY,2022/05/07-19:20
2022/05/02,156.14583333333331,3,TUNY,SAHUAYO_FIVESTARS,INVENTORY,2022/05/07-19:20
2022/04/27,1029466.0,3001,TUNY,FRESKO,INVENTORY,2022/05/07-19:20
2022/04/27,291430.0,301,TUNY,FRESKO_2,INVENTORY,2022/05/07-19:20
2022/04/28,7410.0,63,TUNY,ALSUPER,INVENTORY,2022/05/07-19:20
