daily,scrapper_curr_on_hand_qty,scrapper_rows,client,config_report_id,provider,days_difference,latest_date_str,today
2022-04-20,384993.0,8145,SYM,1,CHEDRAUI,14,2022/04/20,2022/05/04
2022-04-26,65987.0,2168,CHATA,4,FRESKO,8,2022/04/26,2022/05/04
2022-04-26,128830.0,5256,TRAMONTINA,10,FRESKO,8,2022/04/26,2022/05/04
2022-04-26,145798.0,302,TUNY,27,FRESKO_2,8,2022/04/26,2022/05/04
2022-04-26,113671.0,1985,GRUPOVIDA,2,FRESKO,8,2022/04/26,2022/05/04
2022-04-26,515214.0,3001,TUNY,5,FRESKO,8,2022/04/26,2022/05/04
2022-05-01,0.0,1817,GRUPOVIDA,18,SORIANA_DD_2,3,2022/05/01,2022/05/04
2022-05-01,1603739.0,168,TUNY,85,SANCHEZ,3,2022/05/01,2022/05/04
2022-05-02,129746.0,2492,CHATA,6,CALIMAX,2,2022/05/02,2022/05/04
2022-05-02,37281.0,98,TUNY,29,CITY_CLUB,2,2022/05/02,2022/05/04
2022-05-02,1445177.0,1249,TUNY,73,CONSUMO_Z,2,2022/05/02,2022/05/04
2022-05-02,718364.0,4662,TUNY,79,DUERO,2,2022/05/02,2022/05/04
2022-05-02,414895.0,955,TUNY,69,GARCES,2,2022/05/02,2022/05/04
2022-05-02,2082005.0,7115,TUNY,31,SORIANA_DD,2,2022/05/02,2022/05/04
2022-05-02,18960.0,1343,TUNY,36,SORIANA_DW_2,2,2022/05/02,2022/05/04
2022-05-02,10800.0,7417,TUNY,4,SORIANA_DW,2,2022/05/02,2022/05/04
2022-05-02,1494.0,2217,TRAMONTINA,22,SORIANA_DW,2,2022/05/02,2022/05/04
2022-05-02,8244.0,27,CHATA,29,CITY_CLUB,2,2022/05/02,2022/05/04
2022-05-02,109845.95999999999,2840,TRAMONTINA,6,SORIANA_DD,2,2022/05/02,2022/05/04
2022-05-02,63391.0,841,CHATA,33,SORIANA_DD,2,2022/05/02,2022/05/04
2022-05-02,1150.0,1598,CHATA,10,SORIANA_DW,2,2022/05/02,2022/05/04
2022-05-02,2600.0,1521,CHATA,26,SORIANA_DW_2,2,2022/05/02,2022/05/04
2022-05-02,16678.0,9497,GRUPOVIDA,5,SORIANA_DW,2,2022/05/02,2022/05/04
2022-05-02,24890.0,3816,PROAN,9,SORIANA_DW,2,2022/05/02,2022/05/04
2022-05-02,52147.0,2469,TRAMONTINA,20,CALIMAX,2,2022/05/02,2022/05/04
2022-05-02,7909.0,57,TRAMONTINA,14,CITY_CLUB,2,2022/05/02,2022/05/04
2022-05-02,5130.0,1276,TRAMONTINA,26,COPPEL,2,2022/05/02,2022/05/04
2022-05-02,640728.0,1370,TUNY,16,CALIMAX,2,2022/05/02,2022/05/04
